State - County,beta,gamma,gamma2,a2
AZ-Maricopa,"6.018, (5.443, 52.531)","0.04, (0.04, 0.191)","0.083, (0.04, 0.161)","0.026, (0.019, 0.035)"
CA-Los Angeles,"5.498, (4.812, 8.674)","0.04, (0.04, 0.05)","0.04, (0.04, 0.063)","0.044, (0.038, 0.05)"
CA-Riverside,"13.503, (5.124, 16.961)","0.04, (0.04, 0.057)","0.04, (0.04, 0.088)","0.038, (0.033, 0.044)"
FL-Broward,"20.17, (11.244, 27.032)","0.04, (0.04, 0.064)","0.04, (0.04, 0.063)","0.022, (0.02, 0.025)"
FL-Miami-Dade,"8.053, (4.522, 10.805)","0.04, (0.04, 0.089)","0.04, (0.04, 0.049)","0.021, (0.019, 0.023)"
GA-Fulton,"23.355, (12.379, 28.223)","0.04, (0.04, 0.052)","0.04, (0.04, 0.057)","0.02, (0.018, 0.022)"
IL-Cook,"6.877, (5.994, 8.365)","0.04, (0.04, 0.052)","0.04, (0.04, 0.057)","0.028, (0.025, 0.033)"
LA-Jefferson,"29.518, (10.369, 47.966)","0.04, (0.04, 0.062)","0.04, (0.04, 0.055)","0.018, (0.016, 0.019)"
MA-Middlesex,"7.229, (6.131, 8.598)","0.057, (0.04, 0.065)","0.04, (0.04, 0.069)","0.064, (0.057, 0.07)"
MD-Prince Georges,"6.29, (5.975, 7.624)","0.04, (0.04, 0.04)","0.04, (0.04, 0.042)","0.025, (0.022, 0.027)"
MN-Hennepin,"5.285, (4.246, 12.545)","0.04, (0.04, 0.062)","0.04, (0.04, 0.07)","0.076, (0.069, 0.084)"
NC-Mecklenburg,"43.564, (2.774, 46.959)","0.04, (0.04, 0.075)","0.2, (0.04, 0.2)","0.013, (0.011, 0.015)"
NJ-Bergen,"10.758, (9.12, 17.603)","0.054, (0.04, 0.078)","0.04, (0.04, 0.064)","0.022, (0.016, 0.025)"
NJ-Hudson,"10.855, (9.927, 16.921)","0.045, (0.04, 0.058)","0.04, (0.04, 0.047)","0.019, (0.012, 0.021)"
NV-Clark,"10.811, (6.776, 75.831)","0.04, (0.04, 0.196)","0.04, (0.04, 0.052)","0.029, (0.026, 0.033)"
NY-New York,"13.849, (11.537, 26.656)","0.063, (0.04, 0.082)","0.04, (0.04, 0.075)","0.037, (0.026, 0.043)"
OH-Franklin,"5.666, (5.433, 13.538)","0.04, (0.04, 0.054)","0.044, (0.04, 0.076)","0.046, (0.041, 0.053)"
PA-Philadelphia,"8.118, (6.728, 10.405)","0.04, (0.04, 0.05)","0.04, (0.04, 0.057)","0.028, (0.025, 0.031)"
TN-Shelby,"3.566, (3.328, 4.735)","0.04, (0.04, 0.04)","0.04, (0.04, 0.044)","0.031, (0.025, 0.034)"
TX-Dallas,"5.039, (4.514, 20.719)","0.04, (0.04, 0.124)","0.04, (0.04, 0.102)","0.026, (0.019, 0.033)"
TX-Harris--Houston,"6.85, (4.488, 24.164)","0.04, (0.04, 0.14)","0.04, (0.04, 0.05)","0.01, (0.01, 0.011)"
UT-Salt Lake,"4.953, (3.689, 12.711)","0.056, (0.04, 0.055)","0.069, (0.04, 0.081)","0.017, (0.013, 0.019)"
VA-Fairfax,"5.762, (5.1, 8.241)","0.042, (0.04, 0.047)","0.04, (0.04, 0.061)","0.041, (0.038, 0.044)"
WI-Milwaukee,"9.602, (6.576, 29.419)","0.04, (0.04, 0.049)","0.04, (0.04, 0.059)","0.031, (0.027, 0.037)"
