Alabama,
,
,"March 6, 2020‚ Governor Ivey announced the formation of a Coronavirus (COVID-19) Task Force of cabinet and state agency officials, as well as disease specialists in an abundance of caution.‚ÄØ"
,"March 10, 2020‚ Governor Ivey sent a memo to state agency heads directing state employees to notify their department heads, supervisors, and human resource offices if they have traveled in areas affected by the coronavirus."
,"March 13, 2020‚ Governor Ivey issued a state of emergency for Alabama."
,"March 14, 2020 ‚ Governor Ivey closed all Alabama public schools beginning close of business Wednesday, March 18 for two and a half weeks due to the coronavirus outbreak."
,"March 15, 2020 ‚ Governor Ivey authorized directors of all state agencies to put different work schedules into place for state employees."
,"March 15, 2020 ‚ The Governor authorized directors of all state agencies to implement different telework, flexible work schedules and social distancing practices for the next three weeks."
,"March 16, 2020 ‚ The Alabama Department of Labor announced that state employees who are unable to work due to COVID-19 will be eligible to file for unemployment benefits."
,"March 17, 2020 ‚ The Governor emphasized measures taken by financial regulators to protect the financial system within the state."
,"March 17, 2020 ‚ The Alabama Department of Public Health issued updated guidelines stating any restaurant, bar, or brewery shall not permit on-premises consumption of food or drink for one week."
,"March 18, 2020 ‚ The Governor announced the primary runoff election will be delayed to July 14."
,"March 19, 2020 ‚ The Governor issued a statewide health order. The order includes the following directives through April 5. All gatherings of 25 persons or more, or gatherings of any size that cannot maintain a consistent six-foot distance between persons are prohibited. Any restaurant, bar, brewery or similar establishments are not to permit on-premise consumption of food or drink. All beaches are closed. Preschools and childcare centers are closed. All Hospitals and Nursing Home/Long Term Care Facilities (including Assisted Living and Specialty Care Assisted Living Facilities) shall prohibit visitation of all visitors and nonessential health care personnel, except for certain compassionate care situations such as maternity and end-of-life. All elective dental and medical procedures shall be delayed."
,
,
,
,
,
,"March 20, 2020 ‚ The Governor issued an updated statewide public health order prohibiting all non-work related gatherings of 25 persons or more, or non-work related gatherings of any size that cannot maintain a consistent six-foot distance between persons. The updated order also expands the availability of child day care in the state as long as certain guidelines are followed, and includes clarifying language regarding senior citizen centers and schools."
,
