county,pop
"New Castle County, Delaware","558,753"
"Union County, New Jersey","556,341"
"Pasco County, Florida","553,947"
"Volusia County, Florida","553,284"
"Stanislaus County, California","550,660"
"Ramsey County, Minnesota","550,321"
"Dane County, Wisconsin","546,695"
"Lancaster County, Pennsylvania","545,724"
"Summit County, Ohio","541,013"
"Guilford County, North Carolina","537,174"
"Kane County, Illinois","532,403"
"Montgomery County, Ohio","531,687"
"Chester County, Pennsylvania","524,989"
"Greenville County, South Carolina","523,542"
"Spokane County, Washington","522,798"
"Plymouth County, Massachusetts","521,202"
"Adams County, Colorado","517,421"
"Sedgwick County, Kansas","516,042"
"Camden County, New Jersey","506,471"
"Passaic County, New Jersey","501,826"
"Sonoma County, California","494,336"
"Morris County, New Jersey","491,845"
"Polk County, Iowa","490,161"
"Clark County, Washington","488,241"
"Lake County, Indiana","485,493"
"Ada County, Idaho","481,587"
"Richmond County, New York","476,143"
"Seminole County, Florida","471,826"
"Washoe County, Nevada","471,519"
"Prince William County, Virginia","470,335"
"Knox County, Tennessee","470,313"
"Hampden County, Massachusetts","466,372"
"Tulare County, California","466,195"
"Pinal County, Arizona","462,789"
"Onondaga County, New York","460,528"
"Virginia Beach city, Virginia","449,974"
"York County, Pennsylvania","449,058"
"Solano County, California","447,643"
"Santa Barbara County, California","446,499"
"Burlington County, New Jersey","445,349"
"East Baton Rouge Parish, Louisiana","440,059"
"Monterey County, California","434,061"
"Sarasota County, Florida","433,742"
"Jefferson Parish, Louisiana","432,493"
"Dakota County, Minnesota","429,021"
"Lucas County, Ohio","428,348"
"Cameron County, Texas","423,163"
"Berks County, Pennsylvania","421,164"
"Clackamas County, Oregon","418,187"
"Hillsborough County, New Hampshire","417,025"
"Richland County, South Carolina","415,759"
"Loudoun County, Virginia","413,538"
"Mobile County, Alabama","413,210"
"Charleston County, South Carolina","411,406"
"Genesee County, Michigan","405,813"
"Waukesha County, Wisconsin","404,198"
"Manatee County, Florida","403,253"
"St. Charles County, Missouri","402,022"
"Placer County, California","398,329"
"Pulaski County, Arkansas","391,911"
"Orleans Parish, Louisiana","390,144"
"Orange County, New York","384,940"
"Collier County, Florida","384,902"
"Butler County, Ohio","383,134"
"Forsyth County, North Carolina","382,295"
"Lane County, Oregon","382,067"
"Allen County, Indiana","379,299"
"Osceola County, Florida","375,751"
"Brazoria County, Texas","374,264"
"Madison County, Alabama","372,909"
"Stark County, Ohio","370,606"
"Lehigh County, Pennsylvania","369,318"
"Hamilton County, Tennessee","367,804"
"Washtenaw County, Michigan","367,601"
"Mercer County, New Jersey","367,430"
"Lake County, Florida","367,118"
"Marion County, Florida","365,579"
"Bell County, Texas","362,924"
"Nueces County, Texas","362,294"
"Anoka County, Minnesota","356,921"
"Larimer County, Colorado","356,899"
"Davis County, Utah","355,481"
"Horry County, South Carolina","354,081"
"Chesterfield County, Virginia","352,802"
"Douglas County, Colorado","351,154"
"Westmoreland County, Pennsylvania","348,899"
"Marion County, Oregon","347,818"
"Galveston County, Texas","342,139"
"Hamilton County, Indiana","338,011"
"Cumberland County, North Carolina","335,509"
"Rutherford County, Tennessee","332,285"
"Henrico County, Virginia","330,818"
"Somerset County, New Jersey","328,934"
"St. Lucie County, Florida","328,297"
"Boulder County, Colorado","326,196"
"Rockland County, New York","325,789"
"Howard County, Maryland","325,690"
"Weld County, Colorado","324,492"
"Fayette County, Kentucky","323,152"
"Durham County, North Carolina","321,488"
"Spartanburg County, South Carolina","319,785"
"Lancaster County, Nebraska","319,090"
"Escambia County, Florida","318,316"
"Luzerne County, Pennsylvania","317,417"
"Lubbock County, Texas","310,569"
"Lorain County, Ohio","309,833"
"Rockingham County, New Hampshire","309,769"
"McHenry County, Illinois","307,774"
"Albany County, New York","305,506"
"Northampton County, Pennsylvania","305,285"
"St. Louis city, Missouri","300,576"
"Lexington County, South Carolina","298,750"
"Cumberland County, Maine","295,003"
"Dutchess County, New York","294,218"
"Leon County, Florida","293,582"
"Greene County, Missouri","293,086"
"Ingham County, Michigan","292,406"
"Clayton County, Georgia","292,256"
"Ottawa County, Michigan","291,830"
"Gloucester County, New Jersey","291,636"
"Thurston County, Washington","290,536"
"Chatham County, Georgia","289,430"
"Anchorage Municipality, Alaska","288,000"
"Cleveland County, Oklahoma","284,014"
"San Luis Obispo County, California","283,111"
"Winnebago County, Illinois","282,572"
"York County, South Carolina","280,979"
"Benton County, Arkansas","279,141"
"Dauphin County, Pennsylvania","278,299"
"Merced County, California","277,680"
"Webb County, Texas","276,652"
"Santa Cruz County, California","273,213"
"St. Joseph County, Indiana","271,826"
"Kitsap County, Washington","271,473"
"Erie County, Pennsylvania","269,728"
"Alachua County, Florida","269,043"
"New London County, Connecticut","265,206"
"Kalamazoo County, Michigan","265,066"
"St. Johns County, Florida","264,672"
"Brown County, Wisconsin","264,542"
"Atlantic County, New Jersey","263,670"
"Madison County, Illinois","262,966"
"Washington County, Minnesota","262,440"
"Buncombe County, North Carolina","261,191"
"St. Tammany Parish, Louisiana","260,419"
"Weber County, Utah","260,213"
"St. Clair County, Illinois","259,686"
"Frederick County, Maryland","259,547"
"Marin County, California","258,826"
"Cherokee County, Georgia","258,773"
"McLennan County, Texas","256,623"
"Harford County, Maryland","255,441"
"Cumberland County, Pennsylvania","253,370"
"Jefferson County, Texas","251,565"
"Yakima County, Washington","250,873"
"Clay County, Missouri","249,948"
"Chesapeake city, Virginia","244,835"
"Lafayette Parish, Louisiana","244,390"
"Forsyth County, Georgia","244,252"
"Norfolk city, Virginia","242,742"
"Caddo Parish, Louisiana","240,204"
"Union County, North Carolina","239,859"
"Washington County, Arkansas","239,187"
"Williamson County, Tennessee","238,412"
"Arlington County, Virginia","236,842"
"Yavapai County, Arizona","235,099"
"Warren County, Ohio","234,602"
"Henry County, Georgia","234,561"
"New Hanover County, North Carolina","234,473"
"Sussex County, Delaware","234,225"
"Smith County, Texas","232,751"
"Hinds County, Mississippi","231,840"
"Richmond city, Virginia","230,436"
"Hays County, Texas","230,191"
"Lake County, Ohio","230,149"
"Saratoga County, New York","229,863"
"Canyon County, Idaho","229,849"
"Whatcom County, Washington","229,247"
"Brazos County, Texas","229,211"
"Mahoning County, Ohio","228,683"
"Oneida County, New York","228,671"
"Berkeley County, South Carolina","227,907"
"Linn County, Iowa","226,706"
"Montgomery County, Alabama","226,486"
"Jefferson County, Missouri","225,081"
"Gaston County, North Carolina","224,529"
"Baldwin County, Alabama","223,234"
"Jackson County, Oregon","220,944"
"Yolo County, California","220,500"
"Clay County, Florida","219,252"
"Butte County, California","219,186"
"Doña Ana County, New Mexico","218,195"
"Shelby County, Alabama","217,702"
"Cabarrus County, North Carolina","216,453"
"Yuma County, Arizona","213,787"
"Barnstable County, Massachusetts","212,990"
"Mohave County, Arizona","212,181"
"Okaloosa County, Florida","210,738"
"Champaign County, Illinois","209,689"
"Lackawanna County, Pennsylvania","209,674"
"Tuscaloosa County, Alabama","209,355"
"Johnston County, North Carolina","209,339"
"Niagara County, New York","209,281"
"Delaware County, Ohio","209,177"
"Montgomery County, Tennessee","208,993"
"Harrison County, Mississippi","208,080"
"York County, Maine","207,641"
"Washington County, Pennsylvania","206,865"
"Clermont County, Ohio","206,428"
"Elkhart County, Indiana","206,341"
"Hall County, Georgia","204,441"
"Benton County, Washington","204,390"
"Calcasieu Parish, Louisiana","203,436"
"Anderson County, South Carolina","202,558"
"Richmond County, Georgia","202,518"
"Hawaii County, Hawaii","201,513"
"St. Louis County, Minnesota","199,070"
"Trumbull County, Ohio","197,974"
"Onslow County, North Carolina","197,938"
"Deschutes County, Oregon","197,692"
"Racine County, Wisconsin","196,311"
"Muscogee County, Georgia","195,769"
"Tippecanoe County, Indiana","195,732"
"Sangamon County, Illinois","194,672"
"Hernando County, Florida","193,920"
"Minnehaha County, South Dakota","193,134"
"El Dorado County, California","192,843"
"Beaufort County, South Carolina","192,122"
"Livingston County, Michigan","191,995"
"Sumner County, Tennessee","191,283"
"Saginaw County, Michigan","190,539"
"Broome County, New York","190,488"
"Charlotte County, Florida","188,910"
"Outagamie County, Wisconsin","187,885"
"Butler County, Pennsylvania","187,853"
"Sarpy County, Nebraska","187,196"
"DeSoto County, Mississippi","184,945"
"Ellis County, Texas","184,826"
"Santa Rosa County, Florida","184,313"
"Cass County, North Dakota","181,923"
"Iredell County, North Carolina","181,806"
"Vanderburgh County, Indiana","181,451"
"Imperial County, California","181,215"
"Kent County, Delaware","180,786"
"Pitt County, North Carolina","180,742"
"Boone County, Missouri","180,463"
"Litchfield County, Connecticut","180,333"
"Shasta County, California","180,080"
"Medina County, Ohio","179,746"
"Newport News city, Virginia","179,225"
"Peoria County, Illinois","179,179"
"Kanawha County, West Virginia","178,124"
"Ulster County, New York","177,573"
"Washington County, Utah","177,556"
"Shawnee County, Kansas","176,875"
"Licking County, Ohio","176,862"
"Midland County, Texas","176,832"
"Johnson County, Texas","175,817"
"Bay County, Florida","174,705"
"Muskegon County, Michigan","173,566"
"Scott County, Iowa","172,943"
"Winnebago County, Wisconsin","171,907"
"McLean County, Illinois","171,517"
"Aiken County, South Carolina","170,872"
"Porter County, Indiana","170,389"
"Hendricks County, Indiana","170,311"
"Monroe County, Pennsylvania","170,271"
"Kenosha County, Wisconsin","169,561"
"Alamance County, North Carolina","169,509"
"Greene County, Ohio","168,937"
"Paulding County, Georgia","168,667"
"Carroll County, Maryland","168,447"
"Pueblo County, Colorado","168,424"
"Davidson County, North Carolina","167,609"
"Maui County, Hawaii","167,417"
"Kenton County, Kentucky","166,998"
"Guadalupe County, Texas","166,847"
"Ector County, Texas","166,223"
"Kootenai County, Idaho","165,697"
"Wyandotte County, Kansas","165,429"
"Lee County, Alabama","164,542"
"Kent County, Rhode Island","164,292"
"Beaver County, Pennsylvania","163,929"
"Chittenden County, Vermont","163,774"
"Rock County, Wisconsin","163,354"
"Charles County, Maryland","163,257"
"Dorchester County, South Carolina","162,809"
"Portage County, Ohio","162,466"
"Middlesex County, Connecticut","162,436"
"Centre County, Pennsylvania","162,385"
"Yellowstone County, Montana","161,300"
"Stearns County, Minnesota","161,075"
"Martin County, Florida","161,000"
"Hampshire County, Massachusetts","160,830"
"Indian River County, Florida","159,923"
"Catawba County, North Carolina","159,551"
"Alexandria city, Virginia","159,428"
"St. Clair County, Michigan","159,128"
"Rensselaer County, New York","158,714"
"Jackson County, Michigan","158,510"
"Sullivan County, Tennessee","158,348"
"Olmsted County, Minnesota","158,293"
"Johnson County, Indiana","158,167"
"Houston County, Georgia","157,863"
"Fairfield County, Ohio","157,574"
"Madera County, California","157,327"
"Columbia County, Georgia","156,714"
"Comal County, Texas","156,209"
"Schenectady County, New York","155,299"
"Rankin County, Mississippi","155,271"
"Franklin County, Pennsylvania","155,027"
"Mesa County, Colorado","154,210"
"Berrien County, Michigan","153,401"
"Ouachita Parish, Louisiana","153,279"
"Bibb County, Georgia","153,159"
"Kings County, California","152,940"
"Stafford County, Virginia","152,882"
"Penobscot County, Maine","152,148"
"Merrimack County, New Hampshire","151,391"
"Johnson County, Iowa","151,140"
"Washington County, Maryland","151,049"
"Tolland County, Connecticut","150,721"
"Monroe County, Michigan","150,500"
"Santa Fe County, New Mexico","150,358"
"Citrus County, Florida","149,657"
"Cumberland County, New Jersey","149,527"
"Scott County, Minnesota","149,013"
"Coweta County, Georgia","148,509"
"Orange County, North Carolina","148,476"
"Monroe County, Indiana","148,431"
"Canadian County, Oklahoma","148,306"
"Sandoval County, New Mexico","146,748"
"Douglas County, Georgia","146,343"
"Wilson County, Tennessee","144,657"
"Randolph County, North Carolina","143,667"
"Jackson County, Mississippi","143,617"
"Coconino County, Arizona","143,476"
"Parker County, Texas","142,878"
"Brunswick County, North Carolina","142,820"
"Rowan County, North Carolina","142,088"
"Rock Island County, Illinois","141,879"
"Lebanon County, Pennsylvania","141,793"
"Schuylkill County, Pennsylvania","141,359"
"Livingston Parish, Louisiana","140,789"
"Sussex County, New Jersey","140,488"
"Wright County, Minnesota","138,377"
"Florence County, South Carolina","138,293"
"Taylor County, Texas","138,034"
"Napa County, California","137,744"
"Randall County, Texas","137,713"
"Spotsylvania County, Virginia","136,215"
"Grayson County, Texas","136,212"
"Kaufman County, Texas","136,154"
"Washington County, Wisconsin","136,034"
"Harnett County, North Carolina","135,976"
"Marathon County, Wisconsin","135,692"
"Humboldt County, California","135,558"
"Tangipahoa Parish, Louisiana","134,758"
"Hampton city, Virginia","134,510"
"Calhoun County, Michigan","134,159"
"Clark County, Ohio","134,083"
"Boone County, Kentucky","133,581"
"Blount County, Tennessee","133,088"
"Warren County, Kentucky","132,896"
"Sumter County, Florida","132,420"
"Wichita County, Texas","132,230"
"Tazewell County, Illinois","131,803"
"Black Hawk County, Iowa","131,228"
"Wood County, Ohio","130,817"
"Strafford County, New Hampshire","130,633"
"Robeson County, North Carolina","130,625"
"Cambria County, Pennsylvania","130,192"
"Linn County, Oregon","129,749"
"Rapides Parish, Louisiana","129,648"
"Madison County, Indiana","129,569"
"Washington County, Tennessee","129,375"
"Fayette County, Pennsylvania","129,274"
"Skagit County, Washington","129,205"
"Kendall County, Illinois","128,990"
"Clarke County, Georgia","128,331"
"Cache County, Utah","128,289"
"Sebastian County, Arkansas","127,827"
"Bossier Parish, Louisiana","127,039"
"Chautauqua County, New York","126,903"
"Pickens County, South Carolina","126,884"
"Ascension Parish, Louisiana","126,604"
"Faulkner County, Arkansas","126,007"
"Cochise County, Arizona","125,922"
"Washington County, Rhode Island","125,577"
"Berkshire County, Massachusetts","124,944"
"Hunterdon County, New Jersey","124,371"
"San Juan County, New Mexico","123,958"
"Gregg County, Texas","123,945"
"Wayne County, North Carolina","123,131"
"Saline County, Arkansas","122,437"
"Kennebec County, Maine","122,302"
"Douglas County, Kansas","122,259"
"Blair County, Pennsylvania","121,829"
"Jasper County, Missouri","121,328"
"Richland County, Ohio","121,154"
"Comanche County, Oklahoma","120,749"
"Carroll County, Georgia","119,992"
"Morgan County, Alabama","119,679"
"Missoula County, Montana","119,600"
"Tom Green County, Texas","119,200"
"Berkeley County, West Virginia","119,171"
"Bonneville County, Idaho","119,062"
"Clark County, Indiana","118,302"
"Allegan County, Michigan","118,081"
"La Crosse County, Wisconsin","118,016"
"Henderson County, North Carolina","117,417"
"Potter County, Texas","117,415"
"Lowndes County, Georgia","117,406"
"Oswego County, New York","117,124"
"Windham County, Connecticut","116,782"
"Wayne County, Ohio","115,710"
"Sheboygan County, Wisconsin","115,340"
"Flagler County, Florida","115,081"
"Gallatin County, Montana","114,434"
"Fayette County, Georgia","114,421"
"Delaware County, Indiana","114,135"
"Pennington County, South Dakota","113,775"
"Calhoun County, Alabama","113,605"
"St. Mary's County, Maryland","113,510"
"Lycoming County, Pennsylvania","113,299"
"Newton County, Georgia","111,744"
"Douglas County, Oregon","110,980"
"Hardin County, Kentucky","110,958"
"Navajo County, Arizona","110,924"
"Cowlitz County, Washington","110,593"
"Terrebonne Parish, Louisiana","110,461"
"Craighead County, Arkansas","110,332"
"Eaton County, Michigan","110,268"
"LaPorte County, Indiana","109,888"
"Kankakee County, Illinois","109,862"
"Jefferson County, New York","109,834"
"Ontario County, New York","109,777"
"Mercer County, Pennsylvania","109,424"
"Albemarle County, Virginia","109,330"
"LaSalle County, Illinois","108,669"
"Matanuska-Susitna Borough, Alaska","108,317"
"Androscoggin County, Maine","108,277"
"Bradley County, Tennessee","108,110"
"Hanover County, Virginia","107,766"
"St. Lawrence County, New York","107,740"
"Bartow County, Georgia","107,738"
"Yamhill County, Oregon","107,100"
"Vigo County, Indiana","107,038"
"Miami County, Ohio","106,987"
"Sumter County, South Carolina","106,721"
"Madison County, Mississippi","106,272"
"Highlands County, Florida","106,221"
"Houston County, Alabama","105,882"
"Cass County, Missouri","105,780"
"Monongalia County, West Virginia","105,612"
"Warren County, New Jersey","105,267"
"Carver County, Minnesota","105,089"
"Rockwall County, Texas","104,915"
"DeKalb County, Illinois","104,897"
"Eau Claire County, Wisconsin","104,646"
"Whitfield County, Georgia","104,628"
"Platte County, Missouri","104,418"
"Macon County, Illinois","104,009"
"Franklin County, Missouri","103,967"
"Walworth County, Wisconsin","103,868"
"Flathead County, Montana","103,806"
"Wicomico County, Maryland","103,609"
"Fond du Lac County, Wisconsin","103,403"
"Bay County, Michigan","103,126"
"Woodbury County, Iowa","103,107"
"Adams County, Pennsylvania","103,009"
"Cecil County, Maryland","102,855"
"Allen County, Ohio","102,351"
"Etowah County, Alabama","102,268"
"Tompkins County, New York","102,180"
"Craven County, North Carolina","102,139"
"Columbiana County, Ohio","101,883"
"Daviess County, Kentucky","101,511"
"Moore County, North Carolina","100,880"
"Nevada County, California","99,755"
"Laramie County, Wyoming","99,500"
"Garland County, Arkansas","99,386"
"Roanoke city, Virginia","99,143"
"Limestone County, Alabama","98,915"
"Hunt County, Texas","98,594"
"Montgomery County, Virginia","98,535"
"Floyd County, Georgia","98,498"
"Lenawee County, Michigan","98,451"
"Putnam County, New York","98,320"
"Sevier County, Tennessee","98,250"
"Lancaster County, South Carolina","98,012"
"Madison County, Tennessee","97,984"
"Cleveland County, North Carolina","97,947"
"Grant County, Washington","97,733"
"Lafourche Parish, Louisiana","97,614"
"Dubuque County, Iowa","97,311"
"Ashtabula County, Ohio","97,241"
"Sherburne County, Minnesota","97,238"
"Story County, Iowa","97,117"
"Sutter County, California","96,971"
"Fairbanks North Star Borough, Alaska","96,849"
"Marshall County, Alabama","96,774"
"Maury County, Tennessee","96,387"
"Burleigh County, North Dakota","95,626"
"Steuben County, New York","95,379"
"Franklin County, Washington","95,222"
"Walton County, Georgia","94,593"
"Portsmouth city, Virginia","94,398"
"Nash County, North Carolina","94,298"
"Roanoke County, Virginia","94,186"
"Geauga County, Ohio","93,649"
"Campbell County, Kentucky","93,584"
"Dallas County, Iowa","93,453"
"Bowie County, Texas","93,245"
"Pottawattamie County, Iowa","93,206"
"Grand Traverse County, Michigan","93,088"
"Benton County, Oregon","93,053"
"Madison County, Kentucky","92,987"
"Lauderdale County, Alabama","92,729"
"Calvert County, Maryland","92,525"
"Rogers County, Oklahoma","92,459"
"Suffolk city, Virginia","92,108"
"Victoria County, Texas","92,084"
"Cape May County, New Jersey","92,039"
"Tuscarawas County, Ohio","91,987"
"Cabell County, West Virginia","91,945"
"Rockingham County, North Carolina","91,010"
"Rockdale County, Georgia","90,896"
"Northumberland County, Pennsylvania","90,843"
"St. Croix County, Wisconsin","90,687"
"Burke County, North Carolina","90,485"
"Wayne County, New York","89,918"
"Grafton County, New Hampshire","89,886"
"St. Clair County, Alabama","89,512"
"Frederick County, Virginia","89,313"
"Ozaukee County, Wisconsin","89,221"
"Bastrop County, Texas","88,723"
"Nassau County, Florida","88,625"
"Christian County, Missouri","88,595"
"Liberty County, Texas","88,219"
"Dougherty County, Georgia","87,956"
"Dodge County, Wisconsin","87,839"
"Bannock County, Idaho","87,808"
"Lapeer County, Michigan","87,607"
"Josephine County, Oregon","87,487"
"Buchanan County, Missouri","87,364"
"Twin Falls County, Idaho","86,878"
"Mendocino County, California","86,749"
"Angelina County, Texas","86,715"
"Muskingum County, Ohio","86,215"
"Orangeburg County, South Carolina","86,175"
"Lincoln County, North Carolina","86,111"
"Polk County, Oregon","86,085"
"Lawrence County, Pennsylvania","85,512"
"Lee County, Mississippi","85,436"
"Glynn County, Georgia","85,292"
"Island County, Washington","85,141"
"Jefferson County, Wisconsin","84,769"
"Crawford County, Pennsylvania","84,629"
"Indiana County, Pennsylvania","84,073"
"Bartholomew County, Indiana","83,779"
"Cullman County, Alabama","83,768"
"Wood County, West Virginia","83,518"
"Chemung County, New York","83,456"
"Orange County, Texas","83,396"
"Barrow County, Georgia","83,240"
"Midland County, Michigan","83,156"
"Henderson County, Texas","82,737"
"Howard County, Indiana","82,544"
"Caldwell County, North Carolina","82,178"
"Lynchburg city, Virginia","82,168"
"St. Landry Parish, Louisiana","82,124"
"Newport County, Rhode Island","82,082"
"Rockingham County, Virginia","81,948"
"Wilson County, North Carolina","81,801"
"Payne County, Oklahoma","81,784"
"Leavenworth County, Kansas","81,758"
"Bullitt County, Kentucky","81,676"
"Cascade County, Montana","81,366"
"Wagoner County, Oklahoma","81,289"
"Elmore County, Alabama","81,209"
"Lewis County, Washington","80,707"
"Clinton County, New York","80,485"
"Putnam County, Tennessee","80,245"
"Talladega County, Alabama","79,978"
"Natrona County, Wyoming","79,858"
"Bulloch County, Georgia","79,608"
"Clinton County, Michigan","79,595"
"Oconee County, South Carolina","79,546"
"Kosciusko County, Indiana","79,456"
"Clearfield County, Pennsylvania","79,255"
"Bedford County, Virginia","78,997"
"Manitowoc County, Wisconsin","78,981"
"Cape Girardeau County, Missouri","78,871"
"White County, Arkansas","78,753"
"Yuba County, California","78,668"
"Floyd County, Indiana","78,522"
"Hancock County, Indiana","78,168"
"Umatilla County, Oregon","77,950"
"Clallam County, Washington","77,331"
"Chelan County, Washington","77,200"
"Anderson County, Tennessee","76,978"
"Cole County, Missouri","76,745"
"Valencia County, New Mexico","76,688"
"Ross County, Ohio","76,666"
"Cayuga County, New York","76,576"
"James City County, Virginia","76,523"
"Cattaraugus County, New York","76,117"
"Cheshire County, New Hampshire","76,085"
"Coryell County, Texas","75,951"
"Hancock County, Ohio","75,783"
"Vermilion County, Illinois","75,758"
"Van Buren County, Michigan","75,677"
"Augusta County, Virginia","75,558"
"Sullivan County, New York","75,432"
"Scioto County, Ohio","75,314"
"Grays Harbor County, Washington","75,061"
"Forrest County, Mississippi","74,897"
"Putnam County, Florida","74,521"
"Chatham County, North Carolina","74,470"
"Erie County, Ohio","74,266"
"Riley County, Kansas","74,232"
"Monroe County, Florida","74,228"
"Lauderdale County, Mississippi","74,125"
"Walton County, Florida","74,071"
"Somerset County, Pennsylvania","73,447"
"Raleigh County, West Virginia","73,361"
"Lonoke County, Arkansas","73,309"
"Wood County, Wisconsin","72,999"
"Jackson County, Georgia","72,977"
"Walker County, Texas","72,971"
"Pottawatomie County, Oklahoma","72,592"
"Kauai County, Hawaii","72,293"
"Tooele County, Utah","72,259"
"Apache County, Arizona","71,887"
"Robertson County, Tennessee","71,813"
"Surry County, North Carolina","71,783"
"Columbia County, Florida","71,686"
"Creek County, Oklahoma","71,522"
"DeKalb County, Alabama","71,513"
"McKinley County, New Mexico","71,367"
"Fauquier County, Virginia","71,222"
"Lea County, New Mexico","71,070"
"Madison County, New York","70,941"
"Greenwood County, South Carolina","70,811"
"Portage County, Wisconsin","70,772"
"Morgan County, Indiana","70,489"
"Broomfield County, Colorado","70,465"
"Christian County, Kentucky","70,461"
"Allegany County, Maryland","70,416"
"Franklin County, Massachusetts","70,180"
"Wise County, Texas","69,984"
"Troup County, Georgia","69,922"
"Isabella County, Michigan","69,872"
"Iberia Parish, Louisiana","69,830"
"Walker County, Georgia","69,761"
"Franklin County, North Carolina","69,685"
"Carteret County, North Carolina","69,473"
"Grand Forks County, North Dakota","69,451"
"Lewis and Clark County, Montana","69,432"
"Greene County, Tennessee","69,069"
"Wilkes County, North Carolina","68,412"
"York County, Virginia","68,280"
"Klamath County, Oregon","68,238"
"Shiawassee County, Michigan","68,122"
"Jones County, Mississippi","68,098"
"Muskogee County, Oklahoma","67,997"
"Boone County, Indiana","67,843"
"Blue Earth County, Minnesota","67,653"
"Ward County, North Dakota","67,641"
"Catoosa County, Georgia","67,580"
"Laurens County, South Carolina","67,493"
"Otero County, New Mexico","67,490"
"Harrison County, West Virginia","67,256"
"St. Francois County, Missouri","67,215"
"Aroostook County, Maine","67,055"
"Rutherford County, North Carolina","67,029"
