COUNTY,POP
IL-Cook,5150233
NY-Queens,2253858
NY-Kings,2559903
NY-Bronx,1418207
NY-Nassau,1356924
NY-Suffolk,1476601
CA-Los Angeles,10039107
NY-Westchester,967506
NY-New York,1628706
MI-Wayne,1749343
PA-Philadelphia,1584064
MA-Middlesex,1611699
NJ-Hudson,672391
NJ-Bergen,932202
MA-Suffolk,803907
NJ-Essex,798975
FL-Miami-Dade,2716940
NJ-Passaic,501826
NJ-Union,556341
NJ-Middlesex,825062
CT-Fairfield,943332
NY-Richmond,476143
NY-Rockland,325789
MA-Essex,789034
MD-Prince George's,909327
CT-New Haven,854757
NY-Orange,384940
MI-Oakland,1257584
MA-Worcester,830622
RI-Providence,638931
TX-Harris,4713325
CT-Hartford,891720
IN-Marion,964582
NJ-Ocean,607186
MD-Montgomery,1050688
MA-Norfolk,706775
WA-King,2252782
NJ-Monmouth,618795
MA-Plymouth,521202
VA-Fairfax,1147532
TX-Dallas,2635516
LA-Jefferson,432493
DC-District of Columbia,705749
AZ-Maricopa,4485414
LA-Orleans,390144
MI-Macomb,873972
IL-Lake,696535
FL-Broward,1952778
MA-Bristol,565217
NJ-Morris,491845
PA-Montgomery,830915
NJ-Mercer,367430
IL-DuPage,922921
CA-Riverside,2470546
PA-Delaware,566747
CA-San Diego,3338330
MA-Hampden,466372
NJ-Camden,506471
NV-Clark,2266715
NY-Erie,918702
MN-Hennepin,1265843
WI-Milwaukee,945726
CO-Denver,727211
MD-Baltimore,827370
FL-Palm Beach,1496770
OH-Franklin,1316756
PA-Bucks,628270
MO-St. Louis,994205
IL-Will,690743
TX-Tarrant,2102515
NJ-Somerset,328934
IL-Kane,532403
CA-Orange,3175692
NJ-Burlington,445349
TN-Davidson,694144
UT-Salt Lake,1160437
GA-Fulton,1063937
MD-Baltimore City,593490
TN-Shelby,937166
PA-Berks,421164
CO-Arapahoe,656590
DE-Sussex,234225
NY-Dutchess,294218
VA-Prince William,470335
PA-Lehigh,369318
CA-San Bernardino,2180085
OH-Cuyahoga,1235072
SD-Minnehaha,193134
LA-East Baton Rouge,440059
MI-Kent,656955
IA-Polk,490161
WA-Snohomish,822083
MD-Anne Arundel,579234
GA-DeKalb,759297
IN-Lake,485493
DE-New Castle,558753
PA-Northampton,305285
GA-Gwinnett,936250
CO-Adams,517421
PA-Luzerne,317417
TX-Bexar,2003554
FL-Hillsborough,1471968
FL-Orange,1393452
CA-Kern,900202
TX-Hidalgo,868707
TX-Travis,1273954
FL-Duval,957755
NC-Mecklenburg,1110356
CA-Fresno,999101
AZ-Pima,1047279
TX-Cameron,423163
TX-El Paso,839238
FL-Pinellas,974996
TX-Nueces,362294
FL-Lee,770577
CA-Alameda,1671329
CA-Sacramento,1552058
CA-San Joaquin,762148
CA-Santa Clara,1927852
FL-Polk,724777
GA-Cobb,760141
AL-Jefferson,658573
NC-Wake,1111761
TX-Fort Bend,811688
CA-Stanislaus,550660
CA-Tulare,466195
SC-Charleston,411406
CA-Contra Costa,1153526
NE-Douglas,571327
OK-Oklahoma,797434
OK-Tulsa,651552
AZ-Yuma,213787
AL-Mobile,413210
SC-Greenville,523542
KY-Jefferson,766757
